title,genres,year,votes,rating
The Three Musketeers,Adventure,2011,114000,5.7
The Three Musketeers,Fantasy,2011,114000,5.7
The Three Musketeers,Romance,2011,114000,5.7
The Three Musketeers,Thriller,2011,114000,5.7
The Dry Land,Drama,2010,557,5.6
A Serious Man,Dark Comedy,2009,154000,7.0
A Serious Man,Period Drama,2009,154000,7.0
A Serious Man,Psychological Drama,2009,154000,7.0
A Serious Man,Quirky Comedy,2009,154000,7.0
A Serious Man,Tragedy,2009,154000,7.0
A Serious Man,Comedy,2009,154000,7.0
A Serious Man,Drama,2009,154000,7.0
Knocked Up,Feel-Good Romance,2007,391000,6.9
Knocked Up,Romantic Comedy,2007,391000,6.9
Knocked Up,Comedy,2007,391000,6.9
Knocked Up,Romance,2007,391000,6.9
Dragon Ball Super: Broly,Adult Animation,2019,34000,7.7
Dragon Ball Super: Broly,Anime,2019,34000,7.7
Dragon Ball Super: Broly,Superhero,2019,34000,7.7
Dragon Ball Super: Broly,Action,2019,34000,7.7
Dragon Ball Super: Broly,Adventure,2019,34000,7.7
Dragon Ball Super: Broly,Animation,2019,34000,7.7
Dragon Ball Super: Broly,Family,2019,34000,7.7
Dragon Ball Super: Broly,Fantasy,2019,34000,7.7
Dragon Ball Super: Broly,Sci-Fi,2019,34000,7.7
Ladyhawke,Dark Fantasy,1985,53000,6.9
Ladyhawke,Sword & Sorcery,1985,53000,6.9
Ladyhawke,Adventure,1985,53000,6.9
Ladyhawke,Comedy,1985,53000,6.9
Ladyhawke,Drama,1985,53000,6.9
Ladyhawke,Fantasy,1985,53000,6.9
Big Fat Liar,Slapstick,2002,42000,5.5
Big Fat Liar,Adventure,2002,42000,5.5
Big Fat Liar,Comedy,2002,42000,5.5
Big Fat Liar,Family,2002,42000,5.5
Silver Bullet,Werewolf Horror,1985,33000,6.4
Silver Bullet,Horror,1985,33000,6.4
The Pope's Exorcist,Supernatural Horror,2023,95000,6.1
The Pope's Exorcist,Horror,2023,95000,6.1
The Pope's Exorcist,Thriller,2023,95000,6.1
Saw X,Body Horror,2023,88000,6.6
Saw X,Splatter Horror,2023,88000,6.6
Saw X,Horror,2023,88000,6.6
Saw X,Mystery,2023,88000,6.6
Saw X,Thriller,2023,88000,6.6
Song of the Sea,Animal Adventure,2015,65000,8.0
Song of the Sea,Coming-of-Age,2015,65000,8.0
Song of the Sea,Fairy Tale,2015,65000,8.0
Song of the Sea,Hand-Drawn Animation,2015,65000,8.0
Song of the Sea,Quest,2015,65000,8.0
Song of the Sea,Sea Adventure,2015,65000,8.0
Song of the Sea,Adventure,2015,65000,8.0
Song of the Sea,Animation,2015,65000,8.0
Song of the Sea,Drama,2015,65000,8.0
Song of the Sea,Family,2015,65000,8.0
Alita: Battle Angel,Cyberpunk,2019,310000,7.3
Alita: Battle Angel,Dystopian Sci-Fi,2019,310000,7.3
Alita: Battle Angel,Quest,2019,310000,7.3
Alita: Battle Angel,Action,2019,310000,7.3
Alita: Battle Angel,Adventure,2019,310000,7.3
Alita: Battle Angel,Sci-Fi,2019,310000,7.3
Alita: Battle Angel,Thriller,2019,310000,7.3
10 Cloverfield Lane,Psychological Horror,2016,369000,7.2
10 Cloverfield Lane,Psychological Thriller,2016,369000,7.2
10 Cloverfield Lane,Drama,2016,369000,7.2
10 Cloverfield Lane,Horror,2016,369000,7.2
10 Cloverfield Lane,Sci-Fi,2016,369000,7.2
10 Cloverfield Lane,Thriller,2016,369000,7.2
Annie,Comedy,2014,42000,5.4
Annie,Drama,2014,42000,5.4
Annie,Family,2014,42000,5.4
Annie,Musical,2014,42000,5.4
Motherless Brooklyn,Cop Drama,2019,65000,6.8
Motherless Brooklyn,Period Drama,2019,65000,6.8
Motherless Brooklyn,Crime,2019,65000,6.8
Motherless Brooklyn,Drama,2019,65000,6.8
Motherless Brooklyn,Mystery,2019,65000,6.8
The Final Conflict,Horror,1981,25000,5.5
Sleepers,Prison Drama,1996,244000,7.5
Sleepers,Teen Drama,1996,244000,7.5
Sleepers,Crime,1996,244000,7.5
Sleepers,Drama,1996,244000,7.5
Sleepers,Thriller,1996,244000,7.5
Sully,Disaster,2016,310000,7.4
Sully,Docudrama,2016,310000,7.4
Sully,Biography,2016,310000,7.4
Sully,Drama,2016,310000,7.4
My Uncle Rafael,Comedy,2012,224,5.1
Dorian Blues,Comedy,2006,2500,6.7
Dorian Blues,Drama,2006,2500,6.7
Dorian Blues,Romance,2006,2500,6.7
The Baby-Sitters Club,Comedy,1995,6800,5.7
The Baby-Sitters Club,Drama,1995,6800,5.7
The Baby-Sitters Club,Family,1995,6800,5.7
From Dusk Till Dawn,Dark Comedy,1996,353000,7.2
From Dusk Till Dawn,Splatter Horror,1996,353000,7.2
From Dusk Till Dawn,Supernatural Horror,1996,353000,7.2
From Dusk Till Dawn,Vampire Horror,1996,353000,7.2
From Dusk Till Dawn,Action,1996,353000,7.2
From Dusk Till Dawn,Crime,1996,353000,7.2
From Dusk Till Dawn,Horror,1996,353000,7.2
Scream 4,Dark Comedy,2011,180000,6.2
Scream 4,Slasher Horror,2011,180000,6.2
Scream 4,Suspense Mystery,2011,180000,6.2
Scream 4,Teen Horror,2011,180000,6.2
Scream 4,Whodunnit,2011,180000,6.2
Scream 4,Horror,2011,180000,6.2
Scream 4,Mystery,2011,180000,6.2
Slumdog Millionaire,Coming-of-Age,2008,893000,8.0
Slumdog Millionaire,Teen Drama,2008,893000,8.0
Slumdog Millionaire,Crime,2008,893000,8.0
Slumdog Millionaire,Drama,2008,893000,8.0
Slumdog Millionaire,Romance,2008,893000,8.0
Summertime,Drama,2015,6000,6.7
Summertime,Romance,2015,6000,6.7
The 355,Cyber Thriller,2022,41000,5.6
The 355,Spy,2022,41000,5.6
The 355,Action,2022,41000,5.6
The 355,Thriller,2022,41000,5.6
Scream 2,Dark Comedy,1997,221000,6.3
Scream 2,Slasher Horror,1997,221000,6.3
Scream 2,Suspense Mystery,1997,221000,6.3
Scream 2,Teen Horror,1997,221000,6.3
Scream 2,Whodunnit,1997,221000,6.3
Scream 2,Horror,1997,221000,6.3
Scream 2,Mystery,1997,221000,6.3
Punchline,Comedy,1988,9500,5.9
Punchline,Drama,1988,9500,5.9
Punchline,Romance,1988,9500,5.9
Demolition Man,Action,1993,201000,6.7
Demolition Man,Sci-Fi,1993,201000,6.7
Demolition Man,Thriller,1993,201000,6.7
Tangled,Computer Animation,2010,517000,7.7
Tangled,Fairy Tale,2010,517000,7.7
Tangled,Feel-Good Romance,2010,517000,7.7
Tangled,Pop Musical,2010,517000,7.7
Tangled,Teen Adventure,2010,517000,7.7
Tangled,Teen Comedy,2010,517000,7.7
Tangled,Teen Fantasy,2010,517000,7.7
Tangled,Teen Romance,2010,517000,7.7
Tangled,Adventure,2010,517000,7.7
Tangled,Animation,2010,517000,7.7
The Back-up Plan,Comedy,2010,54000,5.3
The Back-up Plan,Romance,2010,54000,5.3
Zombieland,Buddy Comedy,2009,642000,7.5
Zombieland,Dark Comedy,2009,642000,7.5
Zombieland,Road Trip,2009,642000,7.5
Zombieland,Zombie Horror,2009,642000,7.5
Zombieland,Action,2009,642000,7.5
Zombieland,Comedy,2009,642000,7.5
Zombieland,Horror,2009,642000,7.5
Toy Story 2,Computer Animation,1999,642000,7.9
Toy Story 2,Quest,1999,642000,7.9
Toy Story 2,Supernatural Fantasy,1999,642000,7.9
Toy Story 2,Urban Adventure,1999,642000,7.9
Toy Story 2,Adventure,1999,642000,7.9
Toy Story 2,Animation,1999,642000,7.9
Toy Story 2,Comedy,1999,642000,7.9
Toy Story 2,Family,1999,642000,7.9
Toy Story 2,Fantasy,1999,642000,7.9
The Wedding Weekend,Comedy,2009,707,5.7
The Wedding Weekend,Drama,2009,707,5.7
The Wedding Weekend,Music,2009,707,5.7
Megiddo: The Omega Code 2,Action,2001,3000,3.9
Megiddo: The Omega Code 2,Adventure,2001,3000,3.9
Megiddo: The Omega Code 2,Fantasy,2001,3000,3.9
Megiddo: The Omega Code 2,Sci-Fi,2001,3000,3.9
